Time(sec),Intensity
0,0.4666666667
0.5,0.4666666667
1,0.4666666667
1.5,0.4666666667
2,0.4666666667
2.5,0.4666666667
3,0.4666666667
3.5,0.4666666667
4,0.4666666667
4.5,0.4666666667
5,0.4666666667
5.5,0.4666666667
6,0.4666666667
6.5,0.4666666667
7,0.4666666667
7.5,0.4666666667
8,0.4666666667
8.5,0.4666666667
9,0.4666666667
9.5,0.4666666667
10,0.4654483198
10.5,0.4566332219
11,0.4465997771
11.5,0.4365663323
12,0.4265328874
12.5,0.4164994426
13,0.4064659978
13.5,0.396432553
14,0.3863991082
14.5,0.3763656634
15,0.3663322185
15.5,0.3562987737
16,0.3462653289
16.5,0.3362318841
17,0.3261984393
17.5,0.3161649945
18,0.3061315496
18.5,0.2960981048
19,0.28606466
19.5,0.2760312152
20,0.2675744546
20.5,0.2666666667
21,0.2666666667
21.5,0.2666666667
22,0.2666666667
22.5,0.2666666667
23,0.2666666667
23.5,0.298113791
24,0.3878787879
24.5,0.4787878788
25,0.5696969697
25.5,0.6606060606
26,0.7515151515
26.5,0.8401205937
27,0.8666666667
27.5,0.8666666667
28,0.8666666667
28.5,0.8666666667
29,0.8666666667
29.5,0.8666666667
30,0.8666666667
30.5,0.8666666667
31,0.8666666667
31.5,0.8666666667
32,0.8666666667
32.5,0.8666666667
33,0.8666666667
33.5,0.8352195424
34,0.7454545455
34.5,0.6545454546
35,0.5636363637
35.5,0.4727272728
36,0.3818181819
36.5,0.2933643666
37,0.2746987952
37.5,0.286746988
38,0.2987951808
38.5,0.3108433735
39,0.3228915663
39.5,0.3349397591
40,0.3469879518
40.5,0.3590361446
41,0.3710843374
41.5,0.3831325302
42,0.3951807229
42.5,0.4072289157
43,0.4192771085
43.5,0.4313253012
44,0.443373494
44.5,0.4554216868
45,0.4655765921
45.5,0.4666666667
46,0.4666666667
46.5,0.4666666667
47,0.4666666667
47.5,0.4666666667
48,0.4666666667
48.5,0.4666666667
49,0.4666666667
49.5,0.4666666667
50,0.4666666667
50.5,0.4666666667
51,0.4666666667
51.5,0.4664562146
52,0.4555183947
52.5,0.4387959866
53,0.4220735786
53.5,0.4053511706
54,0.3886287626
